review,rating,split
Associate,0,test
Associate,0,test
nice,1,test
MS Reiview,1,test
Average warehouse expectations,0,test
"Agile, lacking work life balance",1,test
Broken dreams - too much sacrifice to my family without anything in return.,0,test
"Lots of hype, substance is lacking.",0,test
Meh,0,test
"Amazon CHENNAI - SDE1 - Poor work life balance, poor management",0,test
"A good place to work, but could be better",1,test
"Former Full-timer, now Part-timer.",0,test
The startup company,0,test
"Fast moving, engaging with lots of resources",1,test
Long time employee grew up,1,test
Account manager,1,test
Customer Service Associate,0,test
Stay far away SDE's,0,test
Family Room Specialist,1,test
ADPS,1,test
Great company!,1,test
"Learn a lot if you are young here, but overall not a happy place",0,test
Software Development Engineer II,1,test
waste of time,0,test
Don't fall into the hype,0,test
Apple,1,test
Don't work here if you came from a startup environment,0,test
Best place to end your engineering career.,0,test
Ownership and opportunity,1,test
just okay,1,test
Senior Advisor,0,test
Amazon Has given every single thing i needed,1,test
smoke and mirrors,1,test
Good wage however favourtism is blatant and good achievements often not rewarded,0,test
UI desigher,1,test
"Quick promotions for smart, hard workers.",1,test
Warehouse Associate,0,test
Everything you've heard is true,0,test
Area Manager,0,test
neat,1,test
Average Work place,1,test
"Great place to work, lots of options to never get bored!",1,test
"Days at the Apple store are long but quick, you have to be high quality to enjoy your career here.",1,test
Experience at Amaon,1,test
Great place to work,1,test
Got me into tech,1,test
Picking manager,0,test
Marketplace Manager,0,test
Catalog Associate,1,test
Great Experience!,1,test
Specialist,1,test
Moving to product focus at expense of Technical expertise,0,test
Good employee,0,test
Life of Amazon Employee,0,test
Great company to work for... few bad apples in the leadership,1,test
Great place to be a SWE,1,test
it is what it is.,0,test
Amazon Delivery Station,1,test
eeeeehhhhhh,0,test
Microsoft GTSC Bangalore,1,test
"Poor Work/Life Balance, Fragile Legacy Systems, Primitive Tools",0,test
Human Resources,0,test
Poor people treatment,0,test
CSA,0,test
Business,0,test
Order Picker,1,test
Worst employer in America,0,test
The Good and the Bad,0,test
The company lower the bar in hiring,1,test
Data Support Engineer,0,test
Good for a temporary job.,0,test
Leadership,0,test
Nice place to work if you can find the right team,1,test
Sr Program Manager,1,test
Almost five years in,0,test
EU CENTRAL FLOW LEAD,1,test
Stressful,0,test
Marcom operation managerment,0,test
Best Career Choice I have made,1,test
software development manager,1,test
Area Manager,0,test
"Great culture, except for the Contact Centre ethos",1,test
Aha horrible culture,0,test
Political,0,test
"Great in the beginning, not so great in the end...",1,test
Newer employee,1,test
Good compnay,1,test
Finance Intern,1,test
Sorter,0,test
Too many politics,0,test
Tech support,0,test
Picker,1,test
Quantitative Analyst,1,test
MACH MBA Program,0,test
"Worst place to work as SWE. If you get their offer, just run away.",0,test
Honestly.,0,test
Good,1,test
If your older stay away,0,test
Project Coordinator,1,test
Google is racist company,0,test
Avoid Working Here if You Can,0,test
Technical Expert,1,test
"Taught me so much, but was discarded like a piece of trash at the end.",1,test
Financial Analyst,0,test
Apple,1,test
Fine experience in warehouse,1,test
associate T&C policy at Amazon,0,test
Good place to start a career from,1,test
Associate,1,test
Part-time Work from home,0,test
Worst company to work for,0,test
Lab126/amazon,0,test
Best company to work for in India,1,test
Technical Support Engineer,1,test
So much right but as a services guy very frustrating place to work.,1,test
"Good part time job, with frustrations",1,test
Great place to learn while having an impact,1,test
Could be worse,1,test
Amazing place to work,1,test
Brutal,0,test
Absolutely horrifying experience,0,test
the best one could be,1,test
at home advisor remote based,0,test
Great experience in Ops,1,test
Once great company becomes more cutthroat by the day....,0,test
Completely disfunctional Shared Services Center,0,test
Team Manager,0,test
Working at Amazon,0,test
Few bad apples spoil the barrel of wine.,0,test
Great to have on your resume but not a place I had any desire to stay long term,0,test
No leadership,0,test
Best Job Ever,1,test
Never judge a book by its cover.,1,test
SDE 2,1,test
Little Regard for the little guys.,0,test
Veteran employee,1,test
Politics at its best,0,test
"A great start to a career, but not a lot up upward mobility.",0,test
Great place,1,test
Awesome,1,test
Good first job,1,test
Horrendous work culture,0,test
WWDR IOS APP REVIEW - AVOID,0,test
Marketplace Sales,1,test
"Engineer, Infra team Menlo Park, CA",1,test
Outbound,1,test
Microsoft needs to start valuing the career growth of the women in their company,0,test
SDEI,1,test
Started amazing but decreased rapidly,0,test
Drank the Kool-Aid,1,test
Microsoft changed for worse,0,test
Sales Manager,0,test
(Former employee),0,test
AHA - do not recommend,0,test
Needs Better Supervision,0,test
Software Development Engineer II,1,test
Picker,0,test
Manager,1,test
"Awful place to work, but it looks good on your resume",0,test
"brutal environment, no \accountability for management",0,test
Senior Product Manager,0,test
Great company to start your career at,1,test
FUN JOB!,1,test
Best Job I've Ever Had,1,test
i have been working as full time employees for 3 year,0,test
Sourcing manager,0,test
"no room for advancement, leadership make you jump through hoops and you will not gain anything from it",0,test
Stay as far away as you can.,0,test
Just another large bureaucratic organization.,0,test
Not nearly as bad as the news says,1,test
Only Good Thing Was The Checks,0,test
Inside sales,1,test
"If you are in it for yourself, fine...just don't try to help others.",0,test
"Experiment, learn and improve yourself!",1,test
Business Analyst,0,test
Good company to work for,1,test
confusing company,0,test
Still the place to be,1,test
Investigations Specialist,0,test
Apple Career,1,test
Past its prime,0,test
"All in all a draining, demoralizing and frustrating job.",0,test
Review,1,test
Red Zone Specialist,1,test
no what I expected,0,test
HR is a joke!!!!!,0,test
Unfair company which doesn't value people's work,0,test
"I love working here! Have your ideas heard and launched, if you take initiative",1,test
Modern day Salcery,0,test
PT Seasonal Associate,0,test
Most Degrading Company I Ever Worked For,0,test
IS&T (ETS/Emerging Technologies) - A miserable place to work.,0,test
Apple - Not a company to die for,0,test
Never work there,0,test
google chicago,1,test
Freedom and....?,0,test
Hi tech company with old school managers in business,1,test
Facebook,1,test
Great place to work,1,test
"Ok, to work for",1,test
Engineer,1,test
Work place,1,test
Toxic environment,0,test
The worst possible job of all time.,0,test
ABC engineer,1,test
Avoid Google Cloud Field Sales,0,test
Passionate but lacking supportive community,0,test
There is always something new and the bar is always moving at MS.,1,test
Good company if you end up in the right environment,0,test
analyst,0,test
BEWARE of their Hiring Practice,0,test
"Long Hours, Hard Physical Work, Monotonous",0,test
Management needs work,1,test
Senator Sanders is right and accurate,0,test
"Good Job, Good Money",1,test
ICQA and Outbound Associate,1,test
"Good work-life balance, great people. Not necessarily cutting edge work..",1,test
Stressful,0,test
Recruiter,1,test
Technical Project Manager,1,test
"Innovative, fun work environment",1,test
Excellent working environment,1,test
Seller Support,0,test
Culture in Amazon's Personal Computers (PC) Team is not good,0,test
Varies by group but overall a good career move,1,test
What¡¯s not to enjoy?,1,test
Amazon the mental and physical SLAVERY corporation !,0,test
Wrong company for those who seek a work life balance.,0,test
Politics at its best,0,test
Very Good Company,1,test
Great work environment,1,test
Worse place ever to work,0,test
Great Company with small minds in middle management,0,test
Do not be a business intelligence engineer under a non-engineer,0,test
Darius,1,test
A story of a robot at MKC6,0,test
Great company,1,test
Great Company!,1,test
Safety,0,test
Amazon at aglance in my prespective,1,test
Don't Do It - Bullies,0,test
Tough place to leave.,1,test
A great place to work,1,test
Genius at apple store,1,test
"Great fun, awful management",0,test
Good part time job,1,test
On-call duty is bad depending on the team,1,test
warehouse associate,1,test
Unrealistic Expectations of Employees,0,test
Talented people,0,test
Recruiting for the fastest growing and most exciting team at Amazon,1,test
Great College Job,1,test
Fulfillment,1,test
This company is horrible,0,test
Manager,1,test
AppleCare Advisor,0,test
Worked as both a and PM + Software Developer,1,test
Worst Company to Work For--- Experience differs based on the Team You work For.,0,test
"It's okay. Big company, okay reviews",0,test
Great compensation,1,test
former employee,0,test
good,1,test
Home delivery in a flash! Enjoy the dissonance.,0,test
"Good company, good benefits job sucks",0,test
nice place to work,1,test
Software Developer,1,test
A place for leaders!!,1,test
"Poor pay, nice perks and decent human resources",1,test
Working at Amazon,0,test
Awesome!,1,test
Engineer,0,test
"Inconsistency, Deceit and Sometimes Awesomeness.",0,test
Catalog Associate employee Chennai,0,test
Bad work environment,0,test
Meh...,0,test
Apple is an amazing employer.,1,test
Great,1,test
"Great company values, but slowly losing its culture",1,test
Root of all evil = Performance Review Model,0,test
Warehouse Associate,1,test
Like living inside an MBA case study,1,test
Not employee friendly,0,test
Fulfillment Associate,0,test
Specialist,1,test
Stressful,0,test
An amazing experience,1,test
Not a good company to work with,1,test
Life@Amazon,1,test
Review,1,test
good,0,test
Overall great place to work,1,test
Very stressful,1,test
Software Developer,1,test
Work and Growth,1,test
Software Development Engineer,1,test
Review,0,test
Business Specialist,0,test
Bad company,0,test
Great Company!,1,test
Great place for a career... if you can play the game,1,test
"Surely they care about their customers, but are absolutely careless about their employees",0,test
Deployment Support Engineer,1,test
Great learning experience working with some of the sharpest minds,1,test
It is moving slow,0,test
Overall Great Experience,1,test
Senior Operations Manager,0,test
Not a employee centric only customer centrics,1,test
Dynamischer und innovativer Arbeitgeber,1,test
Great company,1,test
Great company!,1,test
It¡¯s work you get out what you put in (some of the time),0,test
Business Analyst,0,test
Best days behind it,0,test
Good company,1,test
Culture Unlike No Other,1,test
Horrible environment,0,test
Erschreckend und unmoralisch,0,test
Principal Engineers,0,test
Apple is good medicine,1,test
Microsoft,1,test
"Great pay, great company, little room for advancement",1,test
Business Program Manager,1,test
Fun but hardwork,0,test
Great Company to work for!,1,test
Great benefits and work/life balance,1,test
Still plagued by normal retail pitfalls,0,test
Not a good place to work,0,test
"Amazing company, the best start as a fresh grad",1,test
Customer service,1,test
Seller Support,0,test
Enterprise Technical Support,0,test
Amazon,0,test
"Horrible, absolutely horrible. Bad management, long hours, toxic workplace",0,test
Opportunity abounds,1,test
CLP,1,test
pack,1,test
Senior Consultant,1,test
Horrible Policies,1,test
not a good place for talents,0,test
Remarkable,1,test
"Being SDE1 at Amazon, Gdansk",1,test
Awesome place,1,test
Favorite Company,1,test
Customer Sevice Associate,1,test
Apple retail was single handedly the worst place I have worked.,0,test
Ask a stylist app,0,test
The job responsibilities encompass a wide range of accounting and tax knowledge.,0,test
Good place to learn,1,test
Awesome work life balance,1,test
Grow Up,0,test
What it's like to work at Microsoft?,0,test
Brutal culture,0,test
WORK AT YOUR OWN RISK!!!!,1,test
IT support technician,0,test
Okay job,1,test
Experience of a long time Amazonian,1,test
"Good top management with positive energy, they wants customer and staff can all enjoying in to be with Apple.",1,test
Great job for being single. A little hard to swing with responsibilities and a family.,0,test
Disappointing,0,test
AWS - a great place for professional and personal development,1,test
Trainer,1,test
"Work Hard, Have Fun, Make History!!",1,test
UX designer,0,test
My internship experience,1,test
"Operations, coding and deadlines slavery",0,test
Challenging but rewarding.,1,test
Money isn't everything.,0,test
Good place to learn,1,test
Absolute Horror Show,0,test
Product Specialist,0,test
Neutral,0,test
wasn't what i thought it would be,0,test
Wharehouse worker,0,test
Competitive environment,0,test
Great company,1,test
Amazon,0,test
Full Time Technical Specialist (Australia),0,test
"Great place to work, but depends on the team you land in",1,test
Parfait!,1,test
Expert,1,test
software development engineer,1,test
Extremely short term oriented,0,test
Excellent culture,1,test
Simply amazing,1,test
Fulfillment Associate,0,test
Best company ever,1,test
Fulfillment Associate,0,test
Leading company in the industry,1,test
Warehouse Work,0,test
looks better than it is,0,test
Sorter,1,test
Back of House,1,test
Horrible Working Environment,0,test
"Cool technology, top down management.",0,test
Process Assistant,0,test
Not what you would think,0,test
CSR Amazon India Hyderabad,0,test
one of the most worse company in bangalore,0,test
Cheaper company,0,test
Best best,1,test
"Good Benefits, mentally and physically trying.",1,test
Lacking leaders and direction,0,test
Traumjob mit Sicherheit nicht!!,0,test
seasonal stower,0,test
Do It,1,test
Diary of an Unhappy Associate,0,test
Program Manager 2,1,test
Great company and the best benefits!,1,test
Great experience,1,test
Amazon is an awesome place to work,1,test
Awesome experience but happy to leave,1,test
Amazon Review,0,test
Hard work!,0,test
It is a cult,0,test
Best place to Work!,1,test
Ok if nothing in your personal life goes wrong. Bad for working mothers,0,test
Genius,0,test
Microsoft IT holding back an otherwise great company,1,test
Life as a virtual employee at amazon,1,test
Customer service representatives,1,test
Easy money,1,test
Systems Engineer,1,test
Run like a underpaid childcare facility,0,test
Politics galore.,0,test
rate without reason,0,test
Office politics and biased attitudes,0,test
Great working expereince in the company,1,test
Compliance,0,test
Most Rewarding Job on the Planet,1,test
Looked After,1,test
Amazon,1,test
Ruthless managers and unfriendly coworkers,0,test
Best company in Indian IT landscape,1,test
"High stress, large responsibility, pay could be better",1,test
Driver,0,test
Worst work experience,0,test
Great company to gain experience,1,test
CSA,1,test
Executive Assistant,1,test
Engaging and ambiguous,1,test
Marketing,0,test
It's a great place to work with very smart people,1,test
Horticulturist,0,test
MACH(campus hires) plz dont join,0,test
Stower at amazon,0,test
Amazon would be a great company to work for without cheap politics at work,0,test
Good place for freshers,1,test
A grueling place to work...,0,test
A cult,0,test
Excellent,1,test
Apple At Home Advisor,1,test
Work from home CSa,0,test
Great Place to work,1,test
Publisher,0,test
Almost as much politics to navigate as Washington D.C.,0,test
Design Associate,1,test
can't make it to cooperate unless you know someone,0,test
"Great company, when you can get past the politics",1,test
Apple Family Room Specialist,1,test
Smart people who are set up to compete rather than collaborate,0,test
"Great on paper, but not in reality.",0,test
"Amazon Sortation Associate, A Mistake",0,test
Worst place to work EVER,0,test
CSR Hillsboro Call Center,0,test
concierge,1,test
Great Company!,1,test
Great experience,1,test
Best place to work,1,test
Lovely Company,1,test
"Tremendous Benefits, Lacks Focus",1,test
Excellent compNy,0,test
Culture of fear,0,test
"Amazing Company, Services can be challenging",1,test
Worked for AMZL. Very tight nit group of young managers. It is very important to market yourself well within the company,0,test
Microsoft is over-compensating for diversity,0,test
"AWS looks good on the outside, rotten on core",0,test
Much happier being an Amazon customer than an Amazon Operations Manager.,0,test
Very bad,0,test
anonymous,0,test
Apple Specialist,0,test
Great Product - Great People - Great Culture,1,test
Apple Senior Technical Advisor,1,test
Excellent for building experience and meeting new people,1,test
It's still just retail and they are cheap,0,test
You won't miss it when leave,0,test
Strict and uncaring,0,test
Bezos morals drove me out,0,test
Independent Contractor...Plenty of work...Ok Pay,1,test
Promotions with no raises...,0,test
Great culture and great place to start a career,1,test
Cult-like,0,test
Customer Obsessed,1,test
Packer,0,test
Seasonal part time,0,test
Amazon FC,0,test
Technical Specialist,0,test
Just not what the hiring staff claimed it to be.,0,test
Customer Service,0,test
Fulfillment associate,0,test
Account Manager - Online Advertising,0,test
I hope you know what ,0,test
Worst,0,test
Great company,1,test
Huge Mistake... Worth 0 stars...STAY AWAY,0,test
"Good company, tough environment, more potential",0,test
Company has changed,0,test
At Home Advisor,0,test
It¡¯s Ok,0,test
"Great opportunities, Great environment, terrible review system and bad managers",1,test
"Good for Fresh college hires, not good for mid-level hires.",0,test
Senior Software Development Engineer at Amazon,0,test
Amnesty Robotics Associate,1,test
"You'll do a lot, then you'll want to leave.",0,test
Family Room Specialist - Technology/Technical Specialist,1,test
specialist retail,1,test
Grad job at google Dublin,1,test
They love machines so much they treat you like one,0,test
Great working experience and learning environment,1,test
Fulfillment Associate,0,test
"Good pay and benefits, but work not challenging and slow upper management.",1,test
Salaried Manager,0,test
Good. But a bit hectic,1,test
Working with Apple was awesome.,1,test
Poor work life balance,0,test
Hard to put finger on,1,test
ASLP,1,test
"Apple Retail Australia, the good, the bad and the ugly.",0,test
Jobs that provide you with a sense of purpose.,1,test
Qa engineer,0,test
Microsoft Store - good place to work,1,test
Amazon may be good but managers can wreck your life,0,test
Digital Marketing Manager,0,test
Great place to work,1,test
Mobile cpu Ic hardware design,0,test
"Great place to learn, not so for career growth or the benefits.",0,test
Darwinian for sure - not all bad. But not good,0,test
"Work Hard, Make History, watch your VP get rewarded for it",0,test
Its ok,1,test
Creative people working on no,0,test
"An unhealthy place to be, and not improving.",0,test
Benefits,1,test
Join only if you have the abiliy to learn,1,test
"The job keeps me content for the time being, but there are other areas that interest me more than warehouse work.",1,test
More like a 2.5 - Not as bad as portrayed in the media,0,test
Lots of Money,1,test
Tier 1 Associate,0,test
Web developer,1,test
good,0,test
Great place to work,1,test
Specialist,1,test
Couldn't be happier with my awesome job here! (..unless Microsoft would move to the Midwest!),1,test
Not the best place to work,0,test
Creative director,1,test
Family room Specialist,1,test
Transaction Risk Investigator,0,test
Amazon,1,test
Work here only if you have to,0,test
Great culture,1,test
A heaven for an engineer!,1,test
Microsoft,1,test
Don¡¯t Go!,0,test
Ad rater,0,test
Not what it used to be,0,test
Ok place to work but they make you work very long hours,0,test
Poltics,0,test
Fulfillment Associate,1,test
face paced team,1,test
Picker,0,test
"Joined because the products intrigued me as a customer, internally as an engineer, it was nothing short of a nightmare.",0,test
Software engineers,0,test
Amazon outbound picker-seasonal,0,test
Not a great place to work (MSFT Development Center Norway),1,test
Be prepared,0,test
Most dysfunctional place I've ever worked,0,test
Great company to work,1,test
Applied Scientist,1,test
"It will be a hard slog, and if you start at the wrong group you're in big trouble",0,test
Customer Success Specialist,0,test
It was ok,0,test
Worst place on the earth!,0,test
Amazon Fulfillment XD,1,test
Red Zone Specialist,1,test
You can't deny the evidence,0,test
"Awesome people to work with, never a boring moment, always learning!",1,test
Cool place,1,test
"Very good company to work with, lot of opportunities & top notched engineers , cutting edge technology",1,test
Burn and churn,0,test
Arrogante Vorgesetzte und Vorziehen von ,0,test
Store Leader,1,test
"Amazon Lab 126 - Think ahead, think long term.",1,test
Wrongful Termination,1,test
Instructional designer,0,test
Great place to work,1,test
Constant Uncertainty,1,test
SDM (Supply Demand Management),0,test
Great place to learn,1,test
poor opportunities,0,test
Bad company,0,test
Working Culture is Awesome!,1,test
MSFT Review,0,test
not for everyone,0,test
Amazing,1,test
"Great company, intelligent coworkers",1,test
Great Place to Work For,1,test
Microsoft,1,test
Amazon Ship Dock,1,test
Amazon Fulfillment Center,0,test
Pretty Good,1,test
great place to work!,1,test
Trainer,1,test
Where fun goes to die,0,test
Not very good,0,test
Good place to work,1,test
Not a good experience,0,test
software engineer,0,test
Manager,1,test
Parking and Breaks Show They Don't Care,0,test
Work life balance - skills,0,test
Best company to work for,1,test
Give and Take,1,test
Smh!,0,test
Best place for career growth,0,test
Area manager,0,test
Analyst,0,test
Terrible management from top and it trickles down.,0,test
Good experience,1,test
Program Manager II,0,test
The worst.,0,test
Stow/picker,0,test
Program Manager,1,test
"okay place to gain experience, not so much to make a career",0,test
"Terrible, they wish humans were robots",0,test
Nice place with many opportunities,1,test
"Looks nice on a resume, but not worth the hassle",0,test
Amazon Associate,0,test
Nice company for high performer and for freshers,1,test
Uneven Experience,0,test
"Manage yourself, while limited by your managers",0,test
Meh,0,test
"Great company full of bright, passionate individuals that lacks the clear vision and cohesion to bring it all together.",1,test
AWS - Fast and Furious,0,test
"Contract would be made permanent upon successful completion of probation period, but this did not happen.",0,test
Cultish,0,test
Long term career growth and broad experiences,1,test
Microsoft IT is the worst group,0,test
"Senior Catalog Associate, German",1,test
Dead end job,0,test
Don't get stuck here,0,test
Apple Store Genius,0,test
"Great Insurance, decent pay for short-term job.",0,test
brand ambassador,1,test
Challenging environment to see real progress against customer expectations,0,test
goodd,1,test
Good Environment,1,test
Network engineer,1,test
"Selfish, arrogant, inexperienced middle managers",0,test
Not for the sane,0,test
Death of creativity,0,test
"Exciting company, growing with a bright future, but varies dramatically between groups",1,test
Marketing Manager,1,test
Customer Relations Advisor,0,test
Product Manager,1,test
Retail store employee,1,test
Manager at Amazon,0,test
Company is undergoing transformation and finally seeing some benefits.,1,test
Product Advisor Hell,0,test
Ignore the negative reviews,1,test
Two Year Review - Take ownership of your time & balance,1,test
TRMS,0,test
Great for learning not good for work life balance and career development,0,test
Amazing,1,test
SDE 1,1,test
Working at Microsoft,1,test
Depends on what your job,0,test
Forget about your personal life..Work work work,1,test
Aha technical support advisor,1,test
Just a job,0,test
Fraud Analyst,0,test
Consultant,0,test
Degree Need Only Apply,0,test
It's just like every other retail company at the end of the day.,1,test
specialist,1,test
Retail Sales Member,1,test
Best place to be if you are techi,1,test
Great environment and great outcome!,1,test
Great Company,0,test
Fabulous place to work,1,test
SE Review,1,test
"Best Organization I've Experienced, When They Walk the Talk",1,test
Microsoft Research,1,test
Good place to work with good managers... otherwise it can be hard,0,test
"Good Benefits, Stressful work environment",1,test
"Please Don't Even Think of Taking onThis Role, You'll Snap.",0,test
Just a job,0,test
"Despite the reputation, the amazing products and the glossy stores: one horrible place to work",0,test
marketing manager,1,test
To all those who want ti have fun with a good industrial experience,1,test
More sales-y every day.,1,test
Too much pressure - One of the worst positions in Amazon,0,test
"Decent Pay, Bad Management",0,test
Fast Paced,1,test
Ok,0,test
Besides the BS it is a job,0,test
Bad bosses can really screw your spirit.,0,test
Gsx,0,test
Amazon the best place to work?,1,test
Worst Company,0,test
Senior program manager,0,test
Under pau,0,test
Apply if you can identify yourself with the leadership principles,1,test
Good,1,test
Fun but demanding,1,test
Bad company,0,test
Watch out and quit in 1.5 years,0,test
Latest MS Technologies Experience,1,test
Great Place to Work,1,test
Great technology employer to work for,1,test
Very good culture and nice to people,1,test
If you stay you might not have a real life ever again,1,test
amazon,0,test
Area Manager,1,test
Warehouse Associate,1,test
The glory has past,0,test
Amazing and tough,1,test
Amnesty floor monitor,0,test
New Employees,0,test
A De-humanizing Company,0,test
Good company undergoing lots of change,1,test
Awesome. Lots of perks.,1,test
Picker,1,test
Great comapany,1,test
Great Place to work,1,test
"Good name, but with weird people around.",0,test
Analyst,1,test
Good for your CV !,0,test
Bad place to work,0,test
Fine but fickle,0,test
Job of last resort...,0,test
How they treat there older workers with no respect,0,test
Tell me what you brag about and Ill tell you what you lack.,0,test
Hell,0,test
Love it,1,test
"Great People, Good Pay, Work/Life balance only ok to poor (but they were working on that as I was leaving).",1,test
Avoid SCOT (Supply Chain Optimization Technologies) Team,0,test
engineer,0,test
"Decent company to work for, but is no longer the awesome company it once was.",0,test
This is absolutely the best company to work for!,1,test
Be clear about your long term goals and desires,1,test
"Nice Managers, but difficult bureaucracy",1,test
A great company.,1,test
product marketing manager,1,test
Lot of data entry but great team!,1,test
10/10 would work there again!,1,test
Amazing company...retail leadership is disconnected.,1,test
College At Home Advisor,1,test
Worst software job of my career,0,test
Apple marcom...,1,test
Great experience but at the cost of a not so great personal life,0,test
Family Room Specialist,0,test
BEst,1,test
"(for IS&T business intelligence team) minimal success rate if you are a good engineer... politics, politics & politics",0,test
Operations Manager,1,test
It's a great company and it was my great pleasure having spent so many years there.,1,test
Great Culture,1,test
"7 years of good, 4 years of awful",0,test
picker,0,test
good company to work with,1,test
"Undervalued, abusive customers",0,test
